sld,childsld,links,ips,asns
frivjogosonline.com.br, 136, 6874, 133, 1
rncdn7.com, 61, 6872, 41, 1
sli-systems.net, 190, 6809, 127, 9
eurocarparts.com, 190, 6734, 170, 2
dtag.de, 15, 6581, 9, 1
hotntubes.com, 126, 6477, 103, 1
mtb.com, 266, 6447, 272, 58
sina.com.cn, 267, 6438, 314, 10
spartoo.com, 19, 6429, 1, 1
eromanga-sokuhou.com, 11, 6418, 9, 2
p30download.com, 123, 6385, 54, 2
muaqeb.com, 138, 6351, 93, 1
8boobs.com, 43, 6277, 49, 4
mdanderson.org, 0, 6221, 4, 1
livescore.cz, 50, 6220, 47, 1
1und1.de, 209, 6194, 204, 1
gayvideos1.com, 160, 6126, 83, 1
youyou.co.jp, 83, 6100, 125, 1
thefappeningnew.com, 48, 6089, 40, 1
21tx.com, 462, 6053, 291, 1
samlib.ru, 18, 6048, 22, 1
arabiaweather.com, 87, 6042, 82, 3
1994hiphop.com, 15, 6020, 12, 1
takas.lk, 97, 5928, 90, 2
opennemas.net, 135, 5914, 132, 4
tmart.com, 269, 5899, 103, 2
aicdn.com, 3, 5819, 5, 2
dmm.co.jp, 214, 5809, 231, 4
resultados-futbol.com, 142, 5784, 117, 1
dtag.net, 0, 5753, 4, 1
chinazcache.net, 6, 5666, 9, 2
ax4z.com, 37, 5665, 87, 1
bidns.cn, 118, 5603, 101, 6
opda.ir, 143, 5597, 90, 1
outdoor-magazin.com, 121, 5545, 114, 2
izbirkom.ru, 1, 5452, 8, 1
akfiles.com, 50, 5346, 36, 1
blowoutcards.com, 158, 5334, 124, 1
shifen.com, 61, 5267, 181, 7
herxeber.com, 231, 5252, 157, 1
notcot.org, 74, 5247, 65, 1
alltricks.fr, 144, 5166, 81, 1
bouletcorp.com, 97, 5120, 79, 1
cloudglb.com, 14, 5082, 33, 4
mangaroku.com, 94, 5069, 80, 1
saatchigallery.com, 259, 5067, 151, 2
ldcache.net, 8, 5052, 9, 2
chosun.com, 177, 5050, 260, 7
worldcdn.net, 80, 5037, 113, 11
recursos.es, 15, 5035, 24, 2
ccgslb.com, 20, 5007, 41, 5
cdnvideo.ru, 71, 4997, 98, 17
shopotam.ru, 93, 4990, 86, 2
kinige.com, 242, 4965, 219, 1
moto.it, 78, 4956, 45, 1
smokingfetishkingdom.com, 79, 4929, 67, 1
pprgroup.net, 7, 4915, 43, 4
histats.com, 79, 4913, 70, 1
inmotionhosting.com, 94, 4910, 86, 3
moms-fuck.com, 54, 4880, 43, 1
kinomania.ru, 73, 4866, 68, 2
celeb-for-free.com, 59, 4846, 45, 1
hscdn.com, 57, 4834, 85, 5
ahewar.org, 139, 4826, 107, 1
what-when-how.com, 108, 4778, 93, 1
qingcdn.com, 2, 4773, 27, 3
tsu.ru, 113, 4761, 98, 3
sextvx.com, 132, 4747, 93, 2
onet.pl, 89, 4698, 82, 2
pigu.lt, 3, 4688, 16, 1
rrbresult2016.in, 57, 4679, 51, 1
ha.rs, 28, 4671, 53, 1
tchecked.com, 98, 4625, 83, 1
xvideos-jp.org, 83, 4624, 62, 1
gradeuptube.com, 36, 4593, 27, 2
mammothtube.com, 46, 4570, 23, 1
lswcdn.net, 53, 4564, 66, 1
chinacache.net, 118, 4557, 185, 10
zam.it, 150, 4504, 129, 1
privat-zapisi.com, 9, 4504, 9, 1
ali213.net, 62, 4502, 71, 3
dnsimple.com, 2, 4484, 7, 1
mexicoarmado.com, 135, 4478, 103, 1
kenresearch.com, 95, 4469, 76, 1
rambler.ru, 23, 4466, 145, 2
worldcycle.co.jp, 107, 4432, 71, 2
cps.com.cn, 152, 4420, 87, 4
wood-database.com, 107, 4376, 92, 1
techeblog.com, 79, 4370, 70, 2
hanoicomputer.vn, 55, 4368, 61, 1
wtoutiao.com, 200, 4357, 195, 1
trivago.es, 28, 4354, 1, 1
mums.ac.ir, 109, 4345, 120, 3
okay.cz, 47, 4340, 45, 2
rf-sp.ru, 47, 4313, 50, 2
dk9ps7goqoeef.cloudfront.net, 58, 4261, 117, 1
daisomall.co.kr, 163, 4235, 154, 1
melonbooks.com, 89, 4228, 90, 1
altervista.org, 70, 4223, 202, 3
heyheyfriends.com, 118, 4221, 106, 1
boreus.de, 7, 4194, 68, 1
nowodds.com, 79, 4186, 91, 7
atos.net, 75, 4146, 95, 3
marc.info, 5, 4139, 9, 1
indizze.mx, 19, 4130, 19, 1
farsnews.com, 42, 4124, 42, 4
ernet.in, 126, 4116, 165, 9
api.no, 32, 4099, 24, 1
afdb.org, 334, 4076, 259, 2
ntdtv.com, 63, 4075, 63, 4
ghatreh.com, 82, 4073, 80, 1
tvseriesfinale.com, 24, 4056, 21, 1
delo.ua, 96, 4053, 62, 1
pussylicking.me, 7, 4019, 19, 2
shingakunet.com, 49, 4000, 71, 2
tnh1.com.br, 228, 3998, 130, 3
exxpozed.de, 74, 3990, 64, 1
aliyun.com, 98, 3962, 215, 2
etk.cc, 36, 3950, 29, 2
acadn.com, 13, 3937, 32, 5
zzup.com, 145, 3912, 12, 1
newsextv.com, 17, 3910, 18, 2
x8cdn.com, 81, 3907, 24, 1
zgznh.com, 39, 3891, 39, 1
naaptol.com, 77, 3888, 47, 1
wscloudsec.com, 48, 3887, 89, 5
entensity.net, 141, 3885, 74, 2
gravatar.com, 2, 3872, 8, 1
ghanagrio.com, 133, 3852, 112, 3
probikeshop.fr, 18, 3834, 9, 1
gazeta.pl, 36, 3831, 30, 1
seedoff.tv, 3, 3819, 3, 1
tuoitre.vn, 69, 3813, 83, 2
hottystop.com, 28, 3804, 19, 1
skxox.com, 141, 3803, 72, 1
zxxk.com, 32, 3793, 82, 2
jenabmusic.com, 70, 3780, 20, 1
kunlunhuf.com, 0, 3777, 71, 6
istqbexamcertification.com, 368, 3775, 284, 1
u-10000.com, 71, 3748, 61, 1
comingsoon.it, 37, 3738, 38, 1
shopat7.com, 28, 3736, 36, 1
internet-filiale.net, 17, 3715, 71, 4
edge2befaster.com, 13, 3701, 12, 1
3si-btoc.com, 37, 3700, 78, 6
nulled.com.es, 73, 3672, 43, 1
sdv.fr, 33, 3671, 75, 1
heinze.de, 43, 3659, 37, 2
minghui.org, 154, 3656, 145, 9
clikky.com, 126, 3655, 96, 1
moongori.com, 64, 3643, 86, 1
koikikukan.com, 145, 3636, 112, 1
idol-blog.com, 53, 3623, 58, 1
leparisien.fr, 57, 3615, 53, 5
fedorahosted.org, 40, 3589, 50, 1
lapbuy.com, 90, 3579, 47, 1
goldporntube.com, 48, 3570, 28, 1
oneindia.com, 43, 3568, 47, 1
paultan.org, 61, 3549, 73, 3
galya.ru, 58, 3542, 87, 1
github.com, 229, 3532, 6, 1
thehut.com, 61, 3528, 46, 2
niroensani.ir, 34, 3492, 24, 1
raveis.com, 133, 3484, 106, 1
faz.net, 102, 3483, 106, 11
6mature9.com, 61, 3470, 31, 1
starwarsnewsnet.com, 16, 3470, 16, 1
blesk.cz, 60, 3469, 59, 3
110139.com, 2, 3465, 3, 1
aiondatabase.net, 35, 3462, 28, 1
sydex.net, 37, 3456, 22, 1
collegedunia.com, 22, 3437, 16, 1
alfabetajuega.com, 119, 3418, 104, 1
life-hacking.net, 113, 3412, 71, 1
great-tv.ru, 32, 3339, 30, 1
tumblr.com, 1, 3329, 8, 0
beppegrillo.it, 46, 3325, 25, 1
wmaker.net, 14, 3322, 14, 1
mt.co.kr, 48, 3319, 72, 4
kkcache.com, 1, 3314, 5, 3
dzienniklodzki.pl, 15, 3309, 13, 1
petsworld.in, 88, 3300, 68, 1
trendybharat.com, 22, 3288, 63, 0
haonic.net, 30, 3267, 35, 4
transactcdn.com, 1, 3254, 27, 1
sironekokouryaku.com, 264, 3248, 125, 2
kan300.com, 174, 3244, 90, 0
pornhublive.com, 101, 3237, 16, 1
onlineguru.ru, 28, 3237, 22, 1
snorgtees.com, 53, 3235, 46, 3
go.com, 28, 3234, 75, 3
goldsgym.com, 32, 3209, 37, 2
amatuer.me, 32, 3184, 32, 2
parsasaze.com, 26, 3183, 19, 1
feelway.com, 63, 3178, 68, 1
vimeo.com, 71, 3147, 95, 1
skcdn.com, 89, 3120, 83, 4
mg.co.za, 45, 3101, 63, 7
hackers.ac, 28, 3099, 28, 1
yakala.co, 51, 3097, 74, 1
el-mundo.net, 50, 3089, 102, 4
euroresidentes.com, 90, 3083, 89, 2
amazon.com, 19, 3081, 90, 1
lankachannel.us, 64, 3075, 55, 1
dolatebahar.com, 57, 3056, 43, 1
ladtech.fr, 11, 3055, 33, 2
nayapage.com, 112, 3048, 76, 1
huishoushang.com, 37, 3030, 39, 1
lapulga.com.do, 81, 3028, 65, 1
spbonow.com, 1, 3023, 2, 1
msft.net, 0, 3013, 4, 1
ortsdienst.de, 78, 3011, 65, 1
punterforum.com, 74, 3006, 65, 1
bama.ir, 63, 3005, 52, 1
euclidcdn.net, 52, 3005, 46, 1
konkur.in, 8, 3001, 16, 2
stigmap.gr, 56, 2990, 45, 1
nicovideo.jp, 95, 2989, 102, 3
tarh.ir, 27, 2988, 26, 0
startlapjatekok.hu, 25, 2986, 38, 1
underverse.su, 40, 2985, 87, 1
007sn.com, 1, 2985, 1, 1
planisys.net, 23, 2980, 69, 3
mr-bricolage.fr, 22, 2976, 20, 1
ngenix.net, 2, 2976, 220, 2
alibabadns.com, 52, 2963, 159, 2
tbcache.com, 15, 2961, 43, 11
moeerolibrary.com, 15, 2955, 14, 2
finanzen.net, 132, 2945, 124, 4
bezvasport.cz, 43, 2941, 31, 1
amarbangladesh-online.com, 49, 2938, 47, 1
awsdns-28.org, 0, 2937, 2, 1
abahe.co.uk, 46, 2925, 44, 1
kongfz.com, 59, 2917, 59, 3
mansurfer.com, 56, 2904, 41, 1
yaoichan.me, 15, 2898, 13, 1
fuz.com.cn, 36, 2886, 50, 1
fredericksburg.com, 42, 2880, 3, 2
teluguflame.net, 128, 2879, 96, 1
gsmforum.ru, 26, 2875, 25, 1
maxns.net, 35, 2869, 21, 3
vcmedia.vn, 31, 2856, 41, 1
srt.cn, 40, 2855, 55, 3
yes24.vn, 56, 2834, 58, 1
mypornstarblogs.com, 670, 2832, 63, 2
91mobiles.com, 41, 2830, 49, 1
haowj.com.cn, 48, 2815, 55, 0
caravanalive.com, 24, 2815, 24, 0
ultradns.net, 0, 2813, 6, 1
1a.lv, 4, 2806, 2, 1
boardlife.co.kr, 44, 2803, 51, 1
jewishpress.com, 85, 2796, 83, 2
shemalestardb.com, 44, 2796, 33, 1
edong.com, 2, 2786, 20, 1
fs.com, 87, 2782, 70, 1
imagebam.com, 74, 2777, 47, 2
zho6.com, 0, 2768, 1, 1
marieclaire.fr, 48, 2763, 28, 2
transphoto.ru, 7, 2763, 24, 2
placeit.net, 27, 2761, 24, 1
turk-now.com, 119, 2760, 97, 1
gcup.ru, 40, 2759, 22, 1
4-d.cn, 0, 2757, 1, 1
f-monitor.ru, 27, 2753, 23, 1
prodesigntools.com, 93, 2750, 76, 1
m3cdn.com, 51, 2749, 48, 2
offcn.com, 46, 2748, 56, 4
newsquestdigital.co.uk, 18, 2748, 19, 1
auvieuxcampeur.fr, 36, 2746, 29, 1
worldssl.net, 52, 2737, 66, 11
globo.com, 62, 2730, 88, 3
applaprensa.cloudapp.net, 106, 2727, 64, 1
xd-cdn.com, 34, 2725, 22, 1
xgslb.cn, 33, 2721, 41, 6
adventistas.org, 117, 2714, 177, 12
xvideo-jp.com, 27, 2708, 16, 3
nurxxx.mobi, 48, 2707, 33, 1
officedepot.co.kr, 38, 2701, 37, 3
skrz.cz, 67, 2696, 40, 1
foot-national.com, 70, 2695, 69, 2
e-cancer.fr, 45, 2695, 31, 1
just.ru, 18, 2691, 18, 1
iwatchxnxx.com, 4, 2687, 5, 1
99114.com, 25, 2682, 36, 4
miui.es, 10, 2670, 8, 1
investfunds.ru, 14, 2663, 8, 1
todaywalkins.com, 73, 2637, 41, 1
songsara.net, 7, 2635, 14, 2
ayzdorov.ru, 45, 2631, 37, 1
mediacdn.com, 6, 2631, 14, 3
eroterest.net, 49, 2619, 95, 1
futurumshop.nl, 58, 2617, 43, 1
doujin-ichiban.com, 44, 2616, 47, 1
oomall.com, 23, 2616, 25, 1
mtdata.ru, 14, 2611, 32, 1
58che.com, 10, 2607, 14, 1
annahar.com, 51, 2603, 50, 1
belugacdn.com, 0, 2595, 6, 1
watchonlinecartoons.net, 48, 2593, 41, 1
lgmi.com, 89, 2589, 74, 2
abnews24.com, 97, 2584, 82, 1
pictime.fr, 18, 2581, 27, 1
hottracks.co.kr, 44, 2578, 51, 4
zhibo8.cc, 42, 2578, 70, 2
zbzhibo.com, 0, 2576, 1, 1
battlebots.com, 50, 2572, 35, 1
rzone.de, 144, 2571, 88, 1
conservapedia.com, 67, 2567, 59, 1
360.cn, 94, 2566, 204, 10
lahoo.ca, 44, 2565, 40, 1
volksversand.de, 51, 2559, 41, 1
ucoz.ru, 34, 2557, 68, 4
chekb.com, 20, 2556, 20, 1
ultradns.org, 0, 2551, 3, 1
desprecopii.com, 39, 2538, 36, 3
mama.cn, 41, 2530, 46, 3
4567.tv, 108, 2528, 76, 2
laodong.com.vn, 16, 2527, 7, 2
5stb.com, 0, 2527, 1, 1
alicloudwaf.com, 3, 2518, 63, 1
wscdns.com, 43, 2511, 116, 11
comland.ir, 34, 2498, 32, 2
tomtop.com, 29, 2496, 33, 1
qjy168.com, 29, 2492, 34, 1
nghmat.com, 7, 2491, 25, 2
jysk.no, 8, 2490, 2, 1
izobility.com, 99, 2488, 97, 1
whichbudget.com, 24, 2482, 8, 1
eranico.com, 20, 2473, 29, 1
awsdns-59.co.uk, 0, 2472, 1, 1
thisisglobal.com, 21, 2471, 22, 3
yomiuri.co.jp, 76, 2462, 112, 9
lagrangesystems.net, 8, 2458, 134, 3
goo.ne.jp, 66, 2443, 114, 4
161.ru, 18, 2437, 4, 2
ultradns.info, 0, 2432, 1, 1
dansmovies.com, 44, 2429, 27, 1
circleofmoms.com, 129, 2418, 68, 1
mizutamacollage-factory.net, 33, 2389, 25, 1
stihi-rus.ru, 153, 2385, 81, 1
statcounter.com, 57, 2384, 54, 4
biznes-prost.ru, 41, 2383, 35, 1
tipsenweetjes.nl, 25, 2376, 26, 1
inven.co.kr, 26, 2373, 35, 3
bebitus.com, 30, 2365, 31, 1
kavitakosh.org, 6, 2362, 5, 1
digimart.net, 75, 2360, 74, 2
pipec.ru, 45, 2352, 37, 1
cubecdn.net, 21, 2346, 46, 3
dress-for-less.de, 52, 2344, 42, 1
basketfaul.com, 41, 2340, 7, 1
blazeweek.com, 55, 2334, 41, 1
hime-book.net, 38, 2333, 19, 2
sidex.ru, 7, 2333, 6, 1
dongwonmall.com, 25, 2332, 18, 3
echo.msk.ru, 61, 2322, 44, 3
e-invest.biz, 51, 2320, 61, 1
jobkorea.co.kr, 22, 2307, 28, 3
katalozi.net, 25, 2304, 23, 2
rotoballer.com, 85, 2297, 72, 1
vodvore.net, 1, 2294, 1, 1
sportal.bg, 15, 2288, 24, 2
tks.ru, 34, 2285, 36, 2
99xxxtube.com, 14, 2262, 11, 0
hdwallpaperbackgrounds.net, 64, 2260, 51, 1
wranglerforum.com, 33, 2257, 28, 1
animefreak.tv, 4, 2255, 5, 1
tweaktown.com, 52, 2253, 45, 1
babadu.ru, 27, 2252, 22, 1
autozeitung.de, 93, 2247, 90, 4
ishibashi.co.jp, 33, 2231, 33, 3
motonet.fi, 0, 2229, 2, 1
alexa.com, 13, 2227, 248, 2
alza.sk, 6, 2225, 9, 0
kunlungr.com, 4, 2220, 100, 8
ourwebhttps.com, 1, 2219, 82, 6
noz.de, 35, 2210, 60, 6
tehnosila.ru, 73, 2205, 18, 1
sav.support, 53, 2197, 46, 1
wellsfargojobs.com, 24, 2192, 9, 2
parkseed.com, 73, 2191, 62, 3
seoclerk.com, 47, 2191, 38, 1
numbeo.com, 46, 2179, 38, 1
leonardohobby.ru, 16, 2178, 14, 1
eroiine.com, 12, 2173, 13, 2
bitgravity.com, 0, 2173, 5, 1
hr.com, 23, 2171, 17, 2
yygslb.com, 12, 2170, 21, 1
povar.ru, 19, 2168, 65, 1
nightmovie2.org, 3, 2168, 3, 1
jomodns.com, 66, 2167, 89, 8
trueplookpanya.com, 7, 2160, 8, 2
hec.fr, 29, 2159, 34, 2
beytoote.com, 24, 2143, 29, 1
acshoes.com, 80, 2142, 41, 2
sec-ns.de, 0, 2140, 2, 1
bypeople.com, 51, 2121, 35, 1
foodmate.net, 7, 2117, 40, 2
82628.com, 4, 2114, 5, 1
sailboatlistings.com, 26, 2108, 32, 1
topgia.vn, 39, 2106, 34, 2
1varzesh.com, 20, 2103, 17, 1
aboluowang.com, 28, 2101, 35, 2
aiotestking.com, 9, 2098, 6, 1
kifache.com, 15, 2094, 21, 2
gamesmomo.com, 55, 2090, 40, 2
ariafurniture.co.kr, 25, 2088, 26, 1
hdfuckporn.xxx, 32, 2084, 29, 1
7gardoon.com, 20, 2084, 20, 2
caniplay.ru, 17, 2083, 16, 1
comtech.de, 40, 2080, 40, 1
eyny.com, 24, 2078, 29, 1
testrust.com, 10, 2077, 6, 1
open-hide.biz, 31, 2073, 21, 1
semana.com, 29, 2068, 24, 1
tredz.co.uk, 42, 2065, 31, 2
moyo.ua, 14, 2065, 16, 1
ssopt.net, 16, 2058, 32, 5
seriespepito.to, 3, 2058, 3, 1
mfa.gov.az, 38, 2054, 6, 1
yybf.com, 15, 2054, 6, 0
libertaddigital.com, 78, 2048, 25, 5
dnsmadeeasy.com, 42, 2046, 49, 1
komeri.com, 30, 2046, 25, 1
racer.com, 44, 2042, 30, 1
xxxdessert.com, 36, 2030, 17, 1
smcloud.net, 20, 2028, 45, 1
zooplus.es, 26, 2015, 30, 1
megagames.com, 31, 2010, 23, 3
quasarzone.co.kr, 46, 2008, 59, 1
coffetube.com, 15, 2008, 14, 2
url.tw, 19, 2005, 51, 1
forbes.kz, 15, 2005, 15, 1
ilmessaggero.it, 20, 2003, 19, 4
ffw.com.br, 8, 2001, 9, 1
apm.mn, 53, 2000, 32, 1
minixforum.com, 40, 1991, 34, 1
adingo.jp, 50, 1984, 72, 3
yfcdn.net, 36, 1984, 44, 7
tv3.lt, 64, 1971, 71, 6
hairy-women-pussy.net, 49, 1964, 43, 1
nnportal.org, 35, 1963, 32, 1
as44099.net, 21, 1960, 32, 1
jackpotbetonline.com, 126, 1955, 102, 1
pricedealsindia.com, 16, 1953, 15, 1
tvinfo.de, 14, 1953, 13, 1
iguang.tw, 5, 1953, 19, 2
wikiroutes.info, 34, 1950, 20, 1
xszhibo.com, 8, 1948, 10, 1
marc-o-polo.com, 26, 1946, 8, 2
szonline.net, 32, 1943, 39, 4
pixmania.fr, 16, 1941, 16, 1
haiwai9.cn, 19, 1938, 14, 2
fastpornsite.com, 7, 1933, 3, 2
coolmod.com, 32, 1932, 29, 1
dom.by, 16, 1932, 22, 2
liveresult.ru, 1, 1932, 6, 2
cdninstagram.com, 1, 1929, 19, 1
amazonaws.com.cn, 28, 1925, 136, 1
zol.com.cn, 30, 1922, 27, 1
moemax.at, 18, 1919, 9, 1
hellweg.de, 28, 1917, 42, 1
jiaoshi.com.cn, 6, 1917, 8, 0
kulturologia.ru, 18, 1912, 22, 2
zetaestaticos.com, 46, 1908, 24, 1
rainbowshops.com, 18, 1908, 19, 1
vol.at, 41, 1907, 28, 2
frys.com, 20, 1903, 30, 1
squarespace.com, 71, 1899, 14, 1
novabazar.com, 0, 1893, 1, 1
prisma.fi, 2, 1889, 3, 1
datahost.gr, 49, 1887, 48, 1
buh.ru, 60, 1885, 49, 2
rgfootball.net, 20, 1885, 15, 1
emp.de, 39, 1883, 56, 1
oz.by, 15, 1883, 18, 1
hifi-forum.de, 52, 1882, 44, 1
deepika.com, 99, 1881, 76, 1
clara.net, 10, 1875, 26, 2
gaokao.com, 35, 1874, 28, 2
istanbul.edu.tr, 23, 1872, 126, 5
meteogiornale.it, 50, 1868, 49, 2
geology.com, 53, 1863, 55, 1
fiscomania.com, 44, 1863, 40, 2
needsupply.com, 144, 1861, 108, 2
pogo.com, 38, 1856, 55, 11
rp5.ru, 13, 1855, 13, 1
coolgaymovies.com, 34, 1854, 30, 1
sipeliculas.com, 54, 1853, 48, 2
pieseauto.ro, 15, 1853, 19, 1
gak.co.uk, 20, 1851, 20, 2
menu.am, 41, 1850, 49, 2
austriansoccerboard.at, 51, 1849, 44, 2
lmjx.net, 41, 1849, 34, 1
ewsos.com, 0, 1846, 2, 2
educity.cn, 19, 1841, 22, 1
academic.ru, 22, 1840, 69, 2
rutracker.org, 5, 1840, 4, 1
